"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"FBgn0260233",14.2376377681345,6.77126504181838,2.63464111601363,1.04267931998601e-05,0.000286082929354805
"FBgn0085359",33.3601524104242,-5.16541446521362,0.943976914802506,1.37264309597044e-08,7.21439819401605e-07
"FBgn0024288",37.1776616057783,-4.41356775573498,0.737965180423412,3.25087914940487e-10,2.39205598502573e-08
"FBgn0039155",427.973612295219,-4.36888914544193,0.223054217707412,3.06670417989823e-86,6.20547590802408e-83
"FBgn0039827",168.541323418707,-4.23497259920077,0.333764611451364,1.15659478628201e-37,1.04016424446296e-34
"FBgn0264753",72.9451453813598,-3.66596175854019,0.448729370530264,2.83443260084158e-17,4.88125478110888e-15
"FBgn0034736",142.332214899718,-3.60816707245638,0.329973336808416,5.82903502955426e-29,2.6211227516229e-26
"FBgn0003360",2392.49621102875,-3.21640676100344,0.114304503791845,1.73502594806608e-175,1.40433000236469e-171
"FBgn0030041",58.4904362108439,-3.19212227280866,0.479207031468786,1.96016715268045e-12,1.91151722093922e-10
"FBgn0037290",46.2184675366925,3.02411496314449,0.544275782089639,1.839571503061e-09,1.17768884779854e-07
