"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"FBgn0003360",2392.49621102875,-3.21640676100344,0.114304503791845,1.73502594806608e-175,1.40433000236469e-171
"FBgn0026562",32353.535550623,-2.42611053200062,0.0997578414914177,7.1141477555643e-132,2.87909559667687e-128
"FBgn0025111",1210.96248356102,2.85443611168681,0.12925534972048,2.68131439523847e-109,7.23418623835339e-106
"FBgn0039155",427.973612295219,-4.36888914544193,0.223054217707412,3.06670417989823e-86,6.20547590802408e-83
"FBgn0029167",2315.87477257616,-2.25446212036862,0.118287097281653,2.61136432136449e-82,4.22727656342483e-79
"FBgn0261552",3409.79868347609,-2.08800279758,0.115994968656276,9.85235520830894e-74,1.32908271760088e-70
"FBgn0035085",415.107766814559,-2.63127287458151,0.181638877548444,8.47755651409652e-49,9.80247748929961e-46
"FBgn0033367",12180.1811709078,1.47998549076542,0.103115555511955,5.57038065055326e-48,5.63583262319727e-45
"FBgn0039827",168.541323418707,-4.23497259920077,0.333764611451364,1.15659478628201e-37,1.04016424446296e-34
"FBgn0264475",326.403808785603,-2.37538903646506,0.201259005965692,2.28645053378921e-33,1.85065306204899e-30
